┌央视频道┐,#genre#

CCTV-1,http://106.52.196.79:80/TV/mui.php?id=cctv1
CCTV-2,http://106.52.196.79:80/TV/mui.php?id=cctv2
CCTV-3,http://106.52.196.79:80/TV/mui.php?id=cctv3
CCTV-4,http://106.52.196.79:80/TV/mui.php?id=cctv4
CCTV-6,http://106.52.196.79:80/TV/mui.php?id=cctv6
CCTV-7,http://106.52.196.79:80/TV/mui.php?id=cctv7
CCTV-8,http://106.52.196.79:80/TV/mui.php?id=cctv8
CCTV-9,http://106.52.196.79:80/TV/mui.php?id=cctv9
CCTV-10,http://106.52.196.79:80/TV/mui.php?id=cctv10
CCTV-12,http://106.52.196.79:80/TV/mui.php?id=cctv12
CCTV-13,http://106.52.196.79:80/TV/mui.php?id=cctv13
CCTV-14,http://106.52.196.79:80/TV/mui.php?id=cctv14
CCTV-15,http://106.52.196.79:80/TV/mui.php?id=cctv15
CCTV-17,http://106.52.196.79:80/TV/mui.php?id=cctv17
CCTV1,http://goo.bkpcp.top/mg/cctv1$咪咕源1
CCTV2,http://goo.bkpcp.top/mg/cctv2$咪咕源1
CCTV3,http://goo.bkpcp.top/mg/cctv3$咪咕源1
CCTV4,http://goo.bkpcp.top/mg/cctv4$咪咕源1
CCTV5,http://goo.bkpcp.top/mg/cctv5$咪咕源1
CCTV5+,http://goo.bkpcp.top/mg/cctv5p$咪咕源1
CCTV6,http://goo.bkpcp.top/mg/cctv6$咪咕源1
CCTV7,http://goo.bkpcp.top/mg/cctv7$咪咕源1
CCTV8,http://goo.bkpcp.top/mg/cctv8$咪咕源1
CCTV9,http://goo.bkpcp.top/mg/cctv9$咪咕源1
CCTV10,http://goo.bkpcp.top/mg/cctv10$咪咕源1
CCTV11,http://goo.bkpcp.top/mg/cctv11$咪咕源1
CCTV12,http://goo.bkpcp.top/mg/cctv12$咪咕源1
CCTV13,http://goo.bkpcp.top/mg/cctv13$咪咕源1
CCTV14,http://goo.bkpcp.top/mg/cctv14$咪咕源1
CCTV15,http://goo.bkpcp.top/mg/cctv15$咪咕源1
CCTV16,http://goo.bkpcp.top/mg/cctv16$咪咕源1
CCTV17,http://goo.bkpcp.top/mg/cctv17$咪咕源1
CCTV1,http://148.135.93.213/live.php?id=CCTV1$咪咕源2
CCTV2,http://148.135.93.213/live.php?id=CCTV2$咪咕源2
CCTV3,http://148.135.93.213/live.php?id=CCTV3$咪咕源2
CCTV4,http://148.135.93.213/live.php?id=CCTV4$咪咕源2
CCTV5,http://148.135.93.213/live.php?id=CCTV5$咪咕源2
CCTV5+,http://148.135.93.213/live.php?id=CCTV5p$咪咕源2
CCTV6,http://148.135.93.213/live.php?id=CCTV6$咪咕源2
CCTV7,http://148.135.93.213/live.php?id=CCTV7$咪咕源2
CCTV8,http://148.135.93.213/live.php?id=CCTV8$咪咕源2
CCTV9,http://148.135.93.213/live.php?id=CCTV9$咪咕源2
CCTV10,http://148.135.93.213/live.php?id=CCTV10$咪咕源2
